"","ID","sentence"
"204","NNmodels.md_14","I won't go into too much detail about how they work, because you can find plenty of description online (e.g. [here](http://mccormickml.com/2016/04/19/word2vec-tutorial-the-skip-gram-model/) and [here](https://medium.com/scaleabout/a-gentle-introduction-to-doc2vec-db3e8c0cce5e))."
"205","NNmodels.md_15","But I think it's important to give a brief overview. > we can have lots of good fun that is funny (taken from The Cat in the Hat, by Dr Seuss)."
"206","NNmodels.md_16","If we focus on the word ""*good*"", we can see that it is preceded by the four words *can*, *have*, *lots*, *of*, and followed by the four words *fun*, *that*, *is*, *funny*."
"207","NNmodels.md_17","This idea of words existing in the centre of a sliding window of the words around them is central to Word2Vec."
"208","NNmodels.md_18","In this example I have chosen a window size of 4 words, but in practice we can set this to whatever we like."
"209","NNmodels.md_19","The major distinction between CBOW and skip-gram models is in the task that the neural network is given."
"210","NNmodels.md_20","In the case of CBOW, the task is to predict the focal word (*good*) from the context ({*can*, *have*, *lots*, *of*; *fun*, *that*, *is*, *funny*})."
"211","NNmodels.md_21","Conversely, for skip-gram, the task is to predict the context words ({*can*, *have*, *lots*, *of*; *fun*, *that*, *is*, *funny*}) from the focal word *good*."
"212","NNmodels.md_22","In practice we've found the two methods to produce broadly similar results."
"213","NNmodels.md_23","According to one of the inventors of Word2Vec, Tomas Mikolov, > Skip-gram: works well with small amount of the training data, represents well even rare words or phrases."
"214","NNmodels.md_24","CBOW: several times faster to train than the skip-gram, slightly better accuracy for the frequent words In practice, Mikolov (yes, him again) claims that a combination of both algorithms should be used, but elsewhere I've seen it claimed that DM should be superior."
"215","NNmodels.md_25","For both Doc2Vec methods you can also get the model to output word vectors (at least in gensim)."
"216","NNmodels.md_26","Whereas Word2Vec and Doc2Vec were created by Google, fastText is the brainchild of Facebook."
"217","NNmodels.md_27","Oh, also of that Mikolov chap again, after he (presumably) got poached."
"218","NNmodels.md_28","As far as I know (which isn't much) fastText is an extension of Word2Vec in which words are broken down into their constituent parts, and these parts are used as input in addition to the words."
"219","NNmodels.md_29","So for example, even if we didn't know what ""psychopharmacotherapy"" meant we might be able to guess from the bits of words that make it up: ""psycho"", ""pharmaco"", ""therapy""."
"220","NNmodels.md_30","The beauty of having a well-defined set of tests is that we are able to use them to compare between models, and thus navigate our way better through the forest of different options (CBOW, skip-gram, DBOW, DM, plus parameter choices for all of them)."
"221","NNmodels.md_31","We can search the parameter (and meta-parameter) space, compute the test results, and use the model that gives us the best answers."
"222","NNmodels.md_32","> The economy, nonetheless, has yet to exhibit sustainable growth.  and  > But the economy hasn't shown signs of sustainable growth."
"223","NNmodels.md_33","Typically this is how we determine between models."
"224","NNmodels.md_34","The above two tests are more important because they capture some element of the actual use case of our model."
"225","NNmodels.md_35","However, it is also interesting to see how our model does when comparing meanings of actual words."
"226","NNmodels.md_36","We do this by doing some word arithmetic like that seen above."
"227","NNmodels.md_37","We've got a big set of quartets of words of the form > {work, works, walk, walks} or > {thinking, thought, writing, wrote} or various other combinations of semantic and syntactic variation."
"228","NNmodels.md_38","We go through this massive list, find examples where we have all four words in the list, and then do a calculation like **word_2** - **word_1** + **word_3** = **V** We then see if **word_4** is one of the closest vectors in our set to the vector **V**, ""closest"" here meaning something like ""in the top 10""."
"229","NNmodels.md_39","Obviously this sort of testing is harder to do systematically, but in the end it's the most important thing because it best reflects the purpose of all of this work."
"230","NNmodels.md_40","___ [Back to contents](README.md)"
"231","README.md_1","This repo contains thoughts and guidance about the use of Natural Language Processing, based on the experience of using these techniques in a few projects."
"232","README.md_2","* [Search through a set of documents](Search.md) * [Find topics in a set of documents](Topics.md) * [Feature Selection](FeatureSelection.md) * [Latent Semantic Analysis (LSA)](LSA.md) * [Latent Dirichlet Allocation (LDA)](LDA.md) * [Word2Vec, Doc2Vec, fastText (Neural Network models)](NNmodels.md) * There is code so you can try out these techniques in practice, located in the `code` folder * [More details about it here](code/Code.md)"
"233","Search.md_1","* Following [feature selection](FeatureSelection.md), some methodologies we've had success with are [Latent Semantic Analysis](LSA.md) and [Neural Network models like Word2Vec and Doc2Vec](NNmodels.md)."
"234","Search.md_2","* All methodologies (that we've tried) are subject to improvements using a lot of sleight-of-hand and parameter tweaking (some of this is part of [feature selection](FeatureSelection.md) and some is tweaking model parameters)."
"235","Search.md_3","Since language is hard, we dodge the problem by instead translating it into something that's easy: geometry (Editor's note: I am being glib - in fact bitter personal experience tells me that linear algebra is not in fact easy)."
"236","Search.md_4","For centuries Clever People have established rigorous foundations and proven theorems in the realm of linear algebra, meaning that well-defined statements can be made about such fantastical things as geometries in spaces with thousands of dimensions."
"237","Search.md_5","In particular, we can easily define [rigorous ways of measuring distances between points](https://en.wikipedia.org/wiki/Metric_space)."
"238","Search.md_6","As you may have noticed, the ""solution"" offered above simply begs the question, since we have simply moved from to Some models that we've used are [Latent Semantic Analysis](LSA.md), and [Neural Network models like Word2Vec and Doc2Vec](NNmodels.md) (click to read about them)."
"239","Search.md_7","In all of our use cases, a surprising amount of value can suddenly be added to the model following small changes to [feature selection](FeatureSelection.md) or to model parameters."
"240","Search.md_8","This is not reassuring from a Quality Assurance perspective."
"241","Search.md_9","Which of these things is most appropriate depends upon what the users want."
"242","Search.md_10","___ [Back to contents](README.md)"
"243","TLDR.md_1","* Following [feature selection](FeatureSelection.md), some methodologies we've had success with are [Latent Semantic Analysis](LSA.md) and [Neural Network models like Word2Vec and Doc2Vec](NNmodels.md)."
"244","TLDR.md_2","* All methodologies (that we've tried) are subject to improvements using a lot of sleight-of-hand and parameter tweaking (some of this is part of [feature selection](FeatureSelection.md) and some is tweaking model parameters)."
"245","TLDR.md_3","* There are various methods by which these things can be achieved."
"246","TLDR.md_4","* Latent Dirichlet Allocation is often mentioned in connection with this; we've never got it to work."
"247","TLDR.md_5","* For the unsupervised machine learning techniques, typically you have to define some parameter such as the number of topics, or the density of points in your vector space to define a cluster."
"248","TLDR.md_6","* Where topics are derived via an unsupervised machine learning methods their meanings can be hard to define in an appropriate, semantically-meaningful, human-understandable way."
"249","TLDR.md_7","* To choose *k* we have so far relied on good old trial and error."
"250","TLDR.md_8","Although there are doubtless statistical measures for how ""good"" a value of *k* is (along the lines of plotting some loss of information and looking for an elbow in the plot), we have instead focussed on investigating what happens in the actual tool."
"251","TLDR.md_9","* Latent Dirichlet Allocation is a probabilistic method for [*Topic*](Topics.md) Modelling."
"252","TLDR.md_10","* Unfortunately we have encountered two major problems with the results when we've tried this."
"253","TLDR.md_11","These problems may be with our implementations rather than with the method, but we have tried on different data (and colleagues from another department independently had the same problems)."
"254","TLDR.md_12","* We have stopped trying to implement LDA for the moment."
"255","Topics.md_1","* There are various methods by which these things can be achieved."
"256","Topics.md_2","* Latent Dirichlet Allocation is often mentioned in connection with this; we've never got it to work."
"257","Topics.md_3","* Where topics are derived via an unsupervised machine learning methods their meanings can be hard to define in an appropriate, semantically-meaningful, human-understandable way. * automatically discover what these underlying topics are; and then This question can actually be somewhat more general than just determining the topical content of the text."
"258","Topics.md_4","For example, if we take emails to have only one of two topics, 'spam' or 'ham', then creating a spam filter is an example of a problem in this area."
"259","Topics.md_5","[There is a full page on LDA, and our problems trying to implement it, here.]("
"260","Topics.md_6","LDA.md) Suffice it to say that we haven't got it to work satisfactorily."
"261","Topics.md_7","Using an unsupervised machine learning technique for obtaining topics means that there is inevitably an element of black box to proceedings."
"262","Topics.md_8","This air of mystery can have the unwanted side effect that for some topics it can be * hard to see why the machine has grouped them together, or * easy to see that the machine has grouped them together because of something we think of as trivial."
"263","Topics.md_9","___ [Back to contents](README.md)"
